,t,label,d,f
988,t987,n988,2,0.01929913323070731
989,t988,n989,2,0.558845167961545
990,t989,n990,2,0.5263623740693161
991,t990,n991,2,0.9114647148550823
992,t991,n992,2,0.10555754719622179
993,t992,n993,2,0.4684320553043435
994,t993,n994,2,0.33224786365917347
995,t994,n995,2,0.6255815528831581
996,t995,n996,2,0.18934944760940586
997,t996,n997,2,0.002170726851115079
998,t997,n998,2,0.676095136297557
999,t998,n999,2,0.22071149539552104
1000,t999,n1000,2,0.5807401504302971
