,t,n_start,n_end,weight,active
1749,t875,n204,n876,0,1
1750,t875,n442,n876,0,1
1751,t876,n12,n877,0,1
1752,t876,n567,n877,0,1
1753,t877,n164,n878,0,1
1754,t877,n440,n878,0,1
1755,t878,n446,n879,0,1
1756,t878,n492,n879,0,1
1757,t879,n241,n880,0,1
1758,t879,n521,n880,0,1
1759,t880,n668,n881,0,1
1760,t880,n36,n881,0,1
1761,t881,n183,n882,0,1
1762,t881,n585,n882,0,1
1763,t882,n3,n883,0,1
1764,t882,n24,n883,0,1
1765,t883,n583,n884,0,1
1766,t883,n617,n884,0,1
1767,t884,n2,n885,0,1
1768,t884,n5,n885,0,1
1769,t885,n861,n886,0,1
1770,t885,n816,n886,0,1
1771,t886,n14,n887,0,1
1772,t886,n224,n887,0,1
1773,t887,n3,n888,0,1
1774,t887,n670,n888,0,1
1775,t888,n741,n889,0,1
1776,t888,n2,n889,0,1
1777,t889,n166,n890,0,1
1778,t889,n3,n890,0,1
1779,t890,n889,n891,0,1
1780,t890,n775,n891,0,1
1781,t891,n679,n892,0,1
1782,t891,n69,n892,0,1
1783,t892,n270,n893,0,1
1784,t892,n168,n893,0,1
1785,t893,n289,n894,0,1
1786,t893,n166,n894,0,1
1787,t894,n39,n895,0,1
1788,t894,n770,n895,0,1
1789,t895,n85,n896,0,1
1790,t895,n249,n896,0,1
1791,t896,n54,n897,0,1
1792,t896,n543,n897,0,1
1793,t897,n851,n898,0,1
1794,t897,n33,n898,0,1
1795,t898,n135,n899,0,1
1796,t898,n85,n899,0,1
1797,t899,n187,n900,0,1
1798,t899,n6,n900,0,1
1799,t900,n573,n901,0,1
1800,t900,n7,n901,0,1
1801,t901,n137,n902,0,1
1802,t901,n44,n902,0,1
1803,t902,n46,n903,0,1
1804,t902,n6,n903,0,1
1805,t903,n308,n904,0,1
1806,t903,n889,n904,0,1
1807,t904,n86,n905,0,1
1808,t904,n249,n905,0,1
1809,t905,n121,n906,0,1
1810,t905,n5,n906,0,1
1811,t906,n6,n907,0,1
1812,t906,n163,n907,0,1
1813,t907,n13,n908,0,1
1814,t907,n367,n908,0,1
1815,t908,n25,n909,0,1
1816,t908,n137,n909,0,1
1817,t909,n36,n910,0,1
1818,t909,n3,n910,0,1
1819,t910,n3,n911,0,1
1820,t910,n670,n911,0,1
1821,t911,n216,n912,0,1
1822,t911,n6,n912,0,1
1823,t912,n135,n913,0,1
1824,t912,n74,n913,0,1
1825,t913,n403,n914,0,1
1826,t913,n479,n914,0,1
1827,t914,n177,n915,0,1
1828,t914,n5,n915,0,1
1829,t915,n2,n916,0,1
