,t,label,d,f
9037,t9036,n9037,2,0.9636613396973354
9038,t9037,n9038,2,0.4720484493699597
9039,t9038,n9039,2,0.6552785699002313
9040,t9039,n9040,2,0.5868315637036369
9041,t9040,n9041,2,0.9952771536225494
9042,t9041,n9042,2,0.8764475382088416
9043,t9042,n9043,2,0.2958490383091953
9044,t9043,n9044,2,0.827534565985299
9045,t9044,n9045,2,0.21160505663970497
9046,t9045,n9046,2,0.2804803617713768
9047,t9046,n9047,2,0.42419214278597006
9048,t9047,n9048,2,0.06565146069513184
9049,t9048,n9049,2,0.849063691476312
9050,t9049,n9050,2,0.5262561892856245
9051,t9050,n9051,2,0.5586415107807285
9052,t9051,n9052,2,0.33361906479636927
9053,t9052,n9053,2,0.8198015340770164
9054,t9053,n9054,2,0.7611969948152664
9055,t9054,n9055,2,0.4014527800350738
9056,t9055,n9056,2,0.7067551029302405
9057,t9056,n9057,2,0.8928028738422994
9058,t9057,n9058,2,0.8827983772860161
9059,t9058,n9059,2,0.638781312323195
9060,t9059,n9060,2,0.10098095294540976
9061,t9060,n9061,2,0.5516674724672886
9062,t9061,n9062,2,0.03993436542362072
9063,t9062,n9063,2,0.7034986906892745
9064,t9063,n9064,2,0.6746935290515766
9065,t9064,n9065,2,0.40231000857275245
9066,t9065,n9066,2,0.865137385177055
9067,t9066,n9067,2,0.6075391183941653
9068,t9067,n9068,2,0.5513420231753327
9069,t9068,n9069,2,0.2764832226308641
